game_id,week,day,date,winner,loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,atHome,TODiff,schedule_playoff,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
201012050mia,13,Sun,2010-12-05,CLE,MIA,13,10,252,0,281,3,FALSE,3,FALSE,MIA,-6,43.5,Sun Life Stadium,FALSE,76,1,52,NA
201012050bal,13,Sun,2010-12-05,PIT,BAL,13,10,288,1,269,1,FALSE,0,FALSE,BAL,-3,39,M&T Bank Stadium,FALSE,35,0,48,NA
201012050det,13,Sun,2010-12-05,CHI,DET,24,20,311,1,302,0,FALSE,-1,FALSE,CHI,-5.5,43.5,Ford Field,FALSE,72,0,NA,indoor
201012050sea,13,Sun,2010-12-05,SEA,CAR,31,14,371,2,283,1,TRUE,-1,FALSE,SEA,-5,40,CenturyLink Field,FALSE,48,6,NA,NA
201012050nyg,13,Sun,2010-12-05,NYG,WAS,31,7,358,1,338,6,TRUE,5,FALSE,NYG,-7.5,43,MetLife Stadium,FALSE,34,1,51,NA
201012050tb,13,Sun,2010-12-05,ATL,TB,28,24,290,2,325,1,FALSE,-1,FALSE,ATL,-3,43.5,Raymond James Stadium,FALSE,72,9,53,NA
201012120dal,14,Sun,2010-12-12,PHI,DAL,30,27,429,2,349,2,FALSE,0,FALSE,PHI,-4,51,Cowboys Stadium,FALSE,72,0,NA,indoor
201012120was,14,Sun,2010-12-12,TB,WAS,17,16,365,2,399,1,FALSE,-1,FALSE,TB,-1.5,41.5,FedEx Field,FALSE,43,5,96,NA
201012190tb,15,Sun,2010-12-19,DET,TB,23,20,433,0,403,0,FALSE,0,FALSE,TB,-4,43,Raymond James Stadium,FALSE,54,1,96,NA
201012190mia,15,Sun,2010-12-19,BUF,MIA,17,14,282,1,326,2,FALSE,1,FALSE,MIA,-5.5,40,Sun Life Stadium,FALSE,67,1,74,NA
201012190ten,15,Sun,2010-12-19,TEN,HOU,31,17,359,1,323,1,TRUE,0,FALSE,TEN,-1,47,Nissan Stadium,FALSE,36,4,56,NA
201012190lar,15,Sun,2010-12-19,KC,LAR,27,13,383,1,224,2,FALSE,1,FALSE,LAR,-3,42.5,Edward Jones Dome,FALSE,72,0,NA,indoor
201012260jax,16,Sun,2010-12-26,WAS,JAX,20,17,251,1,336,2,FALSE,1,FALSE,JAX,-6.5,45,EverBank Field,FALSE,38,0,64,NA
201012260cle,16,Sun,2010-12-26,BAL,CLE,20,10,258,1,280,4,FALSE,3,FALSE,BAL,-4,40,FirstEnergy Stadium,FALSE,26,1,73,NA
201012270atl,16,Mon,2010-12-27,NO,ATL,17,14,368,2,215,2,FALSE,0,FALSE,ATL,-2.5,49.5,Georgia Dome,FALSE,72,0,NA,indoor
201012280phi,16,Tue,2010-12-28,MIN,PHI,24,14,337,1,331,3,FALSE,2,FALSE,PHI,-14.5,44.5,Lincoln Financial Field,FALSE,37,1,46,NA
201101020ind,17,Sun,2011-01-02,IND,TEN,23,20,358,1,341,1,TRUE,0,FALSE,IND,-9.5,48,Lucas Oil Stadium,FALSE,72,0,NA,indoor
